loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,revol_util,loan_status
11300,36 months,5.17,339.53,A,1 year,OWN,124500,Verified,debt_consolidation,16.7,0,758,59.3,Fully Paid
13600,36 months,12.32,453.8,C,4 years,MORTGAGE,42600,Verified,major_purchase,8.77,1,700,55.5,Fully Paid
10600,36 months,13.81,361.31,C,3 years,MORTGAGE,154300,Verified,debt_consolidation,14.78,0,696,16.9,Fully Paid
7500,36 months,19.23,275.79,E,5 years,MORTGAGE,78000,Not Verified,debt_consolidation,14.86,0,662,75.9,Fully Paid
13600,60 months,17.76,343.58,D,10+ years,OWN,44900,Source Verified,home_improvement,21.9,0,693,40.1,Fully Paid
33100,36 months,7.49,1029.46,A,< 1 year,OWN,24600,Verified,credit_card,11.88,0,765,52.1,Fully Paid
4900,36 months,11.3,161.12,B,2 years,OTHER,117100,Verified,credit_card,28.19,1,685,58.6,Fully Paid
12000,36 months,9.0,381.6,B,10+ years,MORTGAGE,29800,Verified,debt_consolidation,10.18,1,725,22.9,Fully Paid
7400,60 months,7.27,147.47,A,5 years,MORTGAGE,104600,Verified,debt_consolidation,20.31,0,746,36.6,Fully Paid
9300,60 months,12.48,209.14,C,4 years,RENT,98900,Source Verified,debt_consolidation,16.55,0,693,45.9,Fully Paid
4600,36 months,12.65,154.22,C,10+ years,MORTGAGE,102000,Source Verified,home_improvement,25.91,0,702,38.0,Charged Off
24900,36 months,15.03,863.53,C,1 year,RENT,45000,Verified,debt_consolidation,12.62,0,694,88.4,Charged Off
10100,60 months,8.44,206.93,A,,RENT,157000,Verified,debt_consolidation,13.86,0,743,58.7,Fully Paid
17800,36 months,7.2,551.24,A,< 1 year,RENT,89100,Verified,credit_card,10.22,0,740,79.4,Fully Paid
17100,60 months,17.9,433.3,D,10+ years,MORTGAGE,67900,Source Verified,debt_consolidation,8.1,0,699,32.2,Fully Paid
6100,60 months,13.73,141.08,D,3 years,MORTGAGE,99100,Verified,credit_card,13.74,2,674,32.6,Fully Paid
8200,36 months,27.67,337.72,G,< 1 year,MORTGAGE,59300,Source Verified,credit_card,10.2,1,662,62.9,Charged Off
17100,36 months,6.4,523.32,A,5 years,MORTGAGE,26800,Not Verified,debt_consolidation,5.72,1,772,22.8,Fully Paid
7900,36 months,6.28,241.34,A,1 year,RENT,69400,Not Verified,car,12.75,0,747,7.2,Fully Paid
8100,36 months,13.99,276.8,C,< 1 year,MORTGAGE,42100,Source Verified,debt_consolidation,12.6,1,686,69.1,Fully Paid
19900,36 months,16.7,706.52,D,5 years,RENT,58900,Verified,credit_card,11.11,1,684,18.6,Fully Paid
11500,60 months,10.96,249.81,B,10+ years,MORTGAGE,102600,Verified,debt_consolidation,11.83,0,702,71.0,Fully Paid
12600,36 months,16.1,443.6,D,3 years,MORTGAGE,32900,Verified,credit_card,12.14,0,679,46.3,Charged Off
14000,36 months,16.07,492.68,C,7 years,RENT,39000,Not Verified,debt_consolidation,23.42,0,694,35.3,Fully Paid
24900,36 months,9.44,796.92,B,5 years,RENT,79500,Verified,credit_card,4.59,1,700,66.5,Fully Paid
9700,36 months,8.93,308.14,A,10+ years,RENT,57700,Not Verified,credit_card,23.44,0,751,,Fully Paid
11200,36 months,6.48,343.17,A,10+ years,MORTGAGE,94000,Verified,car,23.6,0,740,80.6,Fully Paid
27200,36 months,13.6,924.36,C,10+ years,RENT,35400,Not Verified,debt_consolidation,8.04,1,700,31.0,Fully Paid
8100,36 months,7.8,253.08,A,6 years,MORTGAGE,41700,Verified,credit_card,9.59,0,765,38.7,Fully Paid
33100,36 months,10.69,1078.8,B,8 years,MORTGAGE,39600,Verified,credit_card,13.86,0,726,67.8,Charged Off
5700,60 months,10.34,122.06,B,1 year,MORTGAGE,56900,Source Verified,debt_consolidation,8.08,1,715,44.3,Fully Paid
6600,60 months,7.0,130.69,A,< 1 year,MORTGAGE,47000,Verified,car,14.69,0,745,51.0,Fully Paid
18300,36 months,23.11,709.44,F,10+ years,RENT,149500,Source Verified,credit_card,14.55,0,675,51.6,Charged Off
9100,36 months,6.07,277.13,A,1 year,MORTGAGE,57300,Verified,debt_consolidation,18.19,0,737,32.6,Fully Paid
20700,36 months,18.39,752.41,E,3 years,RENT,75500,Not Verified,other,25.83,0,672,43.3,Fully Paid
10600,60 months,25.9,316.74,G,,RENT,58100,Not Verified,debt_consolidation,16.31,0,647,55.9,Charged Off
6700,36 months,15.27,233.14,D,10+ years,RENT,110000,Verified,debt_consolidation,40.49,0,696,22.4,Fully Paid
15100,36 months,13.4,511.69,C,,MORTGAGE,44000,Source Verified,debt_consolidation,25.28,0,709,72.4,Charged Off
4400,36 months,9.51,140.97,B,4 years,RENT,115700,Verified,home_improvement,4.85,1,725,21.4,Fully Paid
12300,36 months,13.13,415.21,C,10+ years,MORTGAGE,28300,Not Verified,debt_consolidation,12.51,1,694,32.2,Fully Paid
10000,36 months,11.13,328.0,B,1 year,RENT,53800,Not Verified,debt_consolidation,21.85,0,719,48.3,Fully Paid
9800,36 months,12.22,326.53,C,10+ years,MORTGAGE,47400,Not Verified,credit_card,11.07,0,714,19.5,Fully Paid
22600,36 months,11.99,750.54,B,10+ years,MORTGAGE,91300,Not Verified,credit_card,6.78,0,726,28.1,Fully Paid
12200,60 months,6.98,241.46,A,5 years,RENT,33100,Not Verified,debt_consolidation,8.13,1,731,43.4,Fully Paid
13500,36 months,6.06,411.06,A,9 years,RENT,45100,Verified,debt_consolidation,20.8,0,756,80.1,Charged Off
7800,60 months,11.03,169.71,B,,RENT,54200,Verified,debt_consolidation,10.48,0,720,51.0,Fully Paid
10800,36 months,10.39,350.47,B,10+ years,MORTGAGE,37800,Not Verified,debt_consolidation,15.63,0,705,58.5,Fully Paid
10100,36 months,23.6,394.13,F,< 1 year,OWN,42600,Not Verified,debt_consolidation,10.71,1,641,65.0,Fully Paid
15500,60 months,11.35,339.72,B,8 years,MORTGAGE,62600,Verified,credit_card,10.73,0,700,65.5,Fully Paid
7300,36 months,9.0,232.14,B,4 years,MORTGAGE,62900,Not Verified,debt_consolidation,12.03,0,709,36.1,Fully Paid
9800,36 months,12.63,328.46,C,2 years,MORTGAGE,66100,Source Verified,debt_consolidation,21.04,0,712,,Charged Off
8500,60 months,21.42,231.97,E,3 years,MORTGAGE,76100,Not Verified,debt_consolidation,23.91,0,674,56.5,Fully Paid
5500,36 months,12.98,185.26,B,10+ years,RENT,174400,Not Verified,other,11.51,0,719,26.8,Fully Paid
10100,36 months,7.59,314.59,A,2 years,RENT,99600,Verified,debt_consolidation,25.23,1,737,55.6,Charged Off
13900,36 months,14.82,480.62,C,10+ years,RENT,26500,Source Verified,car,24.94,0,687,52.7,Fully Paid
12200,60 months,17.29,305.11,E,9 years,MORTGAGE,66800,Verified,credit_card,17.52,0,670,93.6,Charged Off
17600,36 months,6.69,540.95,A,10+ years,OWN,45900,Not Verified,debt_consolidation,18.74,0,760,44.4,Fully Paid
8900,36 months,10.63,289.82,B,10+ years,OWN,80900,Source Verified,debt_consolidation,19.92,0,722,67.0,Fully Paid
12700,36 months,11.21,417.05,B,10+ years,MORTGAGE,44700,Not Verified,debt_consolidation,13.05,0,728,47.1,Fully Paid
18900,36 months,7.74,589.99,A,7 years,RENT,42200,Verified,car,23.58,1,749,67.5,Fully Paid
10000,36 months,16.05,351.82,D,2 years,RENT,41600,Not Verified,credit_card,25.7,1,673,76.0,Fully Paid
9800,36 months,14.06,335.23,C,10+ years,RENT,80700,Verified,credit_card,26.39,0,711,37.3,Fully Paid
13300,36 months,11.29,437.25,C,10+ years,OWN,106100,Source Verified,debt_consolidation,5.08,0,685,41.7,Fully Paid
7800,36 months,7.86,243.92,A,2 years,MORTGAGE,53500,Source Verified,debt_consolidation,11.37,0,736,54.8,Fully Paid
10100,36 months,10.96,330.47,B,1 year,RENT,26400,Verified,major_purchase,12.46,1,726,46.6,Fully Paid
9700,36 months,18.03,350.82,D,6 years,MORTGAGE,141100,Not Verified,home_improvement,14.04,0,686,78.3,Fully Paid
13100,60 months,30.0,423.83,G,10+ years,RENT,73600,Not Verified,debt_consolidation,21.17,1,644,68.2,Charged Off
20300,60 months,11.38,445.23,B,10+ years,RENT,51300,Verified,credit_card,19.76,0,718,71.0,Fully Paid
14500,60 months,11.59,319.55,C,10+ years,MORTGAGE,37100,Not Verified,major_purchase,13.72,0,715,19.9,Fully Paid
10500,36 months,12.24,349.96,B,10+ years,MORTGAGE,84200,Not Verified,debt_consolidation,7.72,2,718,41.8,Fully Paid
12500,36 months,14.27,428.86,C,6 years,MORTGAGE,194300,Not Verified,debt_consolidation,19.11,1,687,38.6,Charged Off
13200,60 months,10.9,286.34,B,,MORTGAGE,86100,Source Verified,credit_card,20.02,0,707,62.1,Charged Off
8500,60 months,15.43,204.14,C,8 years,MORTGAGE,28400,Not Verified,other,18.76,0,690,55.6,Fully Paid
11800,36 months,6.63,362.36,A,10+ years,MORTGAGE,78200,Verified,debt_consolidation,15.2,0,751,30.1,Fully Paid
20000,60 months,18.1,508.96,D,10+ years,MORTGAGE,55300,Not Verified,credit_card,15.99,0,697,30.0,Fully Paid
12900,36 months,13.84,439.89,C,7 years,OWN,45000,Not Verified,credit_card,22.32,0,712,9.3,Fully Paid
20700,60 months,9.4,433.73,B,7 years,RENT,274500,Not Verified,debt_consolidation,29.35,0,688,50.9,Charged Off
6900,36 months,25.82,277.34,F,6 years,MORTGAGE,68100,Not Verified,home_improvement,40.5,0,679,69.7,Charged Off
32700,36 months,9.63,1049.47,B,10+ years,RENT,73000,Verified,debt_consolidation,16.94,1,724,28.3,Fully Paid
13900,60 months,13.91,322.78,C,10+ years,RENT,46000,Not Verified,debt_consolidation,6.06,1,700,76.3,Fully Paid
8900,36 months,9.79,286.3,B,6 years,RENT,57600,Source Verified,credit_card,15.5,0,716,30.0,Fully Paid
11300,60 months,24.07,325.54,F,5 years,OWN,101000,Source Verified,debt_consolidation,14.41,2,670,84.0,Charged Off
7600,36 months,9.52,243.52,B,,OWN,54100,Not Verified,debt_consolidation,27.42,0,716,8.0,Fully Paid
20800,36 months,20.95,783.11,E,8 years,RENT,34800,Source Verified,debt_consolidation,11.38,0,653,55.7,Charged Off
22400,36 months,9.4,716.49,B,10+ years,OWN,31200,Not Verified,credit_card,13.91,1,727,59.1,Fully Paid
19200,36 months,16.94,683.96,C,10+ years,RENT,29900,Source Verified,debt_consolidation,19.04,1,707,39.3,Charged Off
14700,36 months,11.27,483.14,B,3 years,RENT,47400,Source Verified,debt_consolidation,26.48,0,711,83.8,Fully Paid
20500,36 months,14.81,708.73,D,10+ years,RENT,81300,Not Verified,debt_consolidation,10.78,1,699,59.0,Charged Off
16900,60 months,10.62,364.25,B,10+ years,MORTGAGE,204500,Verified,debt_consolidation,29.71,0,702,32.3,Fully Paid
9100,60 months,14.76,215.34,D,9 years,RENT,53500,Not Verified,debt_consolidation,20.74,1,708,95.0,Fully Paid
9700,60 months,10.59,208.92,B,6 years,MORTGAGE,65200,Verified,debt_consolidation,9.49,1,704,24.7,Fully Paid
9600,60 months,17.16,239.41,D,3 years,RENT,76800,Not Verified,small_business,12.17,0,691,46.6,Fully Paid
21200,60 months,11.81,469.55,B,< 1 year,OWN,34500,Not Verified,debt_consolidation,5.93,0,713,12.4,Fully Paid
15600,60 months,16.46,383.19,D,,RENT,94900,Source Verified,debt_consolidation,15.27,0,685,55.9,Fully Paid
10000,36 months,14.0,341.78,C,2 years,RENT,67200,Verified,other,11.68,1,694,56.8,Fully Paid
22100,36 months,18.09,799.97,D,10+ years,MORTGAGE,43700,Source Verified,other,23.82,1,682,49.9,Fully Paid
11600,60 months,8.52,238.1,A,10+ years,RENT,76800,Source Verified,other,25.73,0,733,30.4,Fully Paid
15200,36 months,13.66,516.99,C,10+ years,MORTGAGE,37300,Verified,debt_consolidation,30.81,0,712,93.7,Fully Paid
8300,36 months,14.05,283.88,C,10+ years,MORTGAGE,84400,Source Verified,debt_consolidation,9.7,0,686,44.4,Fully Paid
29800,36 months,14.69,1028.51,C,1 year,MORTGAGE,67800,Verified,debt_consolidation,9.3,0,699,23.9,Fully Paid
4400,60 months,14.21,102.86,D,5 years,RENT,111600,Verified,credit_card,20.16,0,686,18.0,Fully Paid
13800,36 months,11.65,456.05,B,10+ years,MORTGAGE,71700,Source Verified,debt_consolidation,37.73,0,731,22.6,Charged Off
3700,36 months,17.13,132.15,D,10+ years,RENT,72600,Source Verified,debt_consolidation,19.98,0,680,15.0,Fully Paid
40000,60 months,20.57,1072.48,E,3 years,RENT,117300,Source Verified,debt_consolidation,10.64,1,669,72.0,Fully Paid
26400,60 months,13.13,602.44,C,5 years,MORTGAGE,64600,Source Verified,other,17.45,0,703,82.6,Fully Paid
6600,36 months,11.56,217.83,C,1 year,RENT,54000,Source Verified,small_business,22.67,0,684,46.0,Fully Paid
12400,60 months,10.98,269.48,B,1 year,MORTGAGE,37300,Not Verified,debt_consolidation,22.13,0,707,80.9,Fully Paid
13900,60 months,7.3,277.21,A,< 1 year,OWN,90900,Not Verified,credit_card,15.44,0,738,20.0,Fully Paid
11600,36 months,8.11,364.09,A,2 years,RENT,40200,Verified,home_improvement,9.17,1,713,80.3,Fully Paid
12300,60 months,17.56,309.4,E,10+ years,MORTGAGE,99900,Verified,debt_consolidation,17.93,1,658,23.9,Fully Paid
10200,60 months,5.58,195.21,A,7 years,RENT,34800,Verified,home_improvement,19.83,0,747,29.5,Fully Paid
10200,60 months,16.56,251.09,D,3 years,OWN,65500,Source Verified,credit_card,11.2,0,672,50.0,Fully Paid
9600,60 months,11.54,211.32,B,6 years,RENT,78100,Source Verified,debt_consolidation,25.09,0,690,53.4,Fully Paid
20100,36 months,12.23,669.82,B,2 years,OWN,203300,Verified,other,33.27,1,718,55.6,Charged Off
9600,36 months,14.98,332.69,C,7 years,RENT,98700,Not Verified,home_improvement,13.2,0,684,48.0,Fully Paid
6000,36 months,7.46,186.53,A,4 years,MORTGAGE,88100,Not Verified,debt_consolidation,12.48,0,736,52.1,Fully Paid
15900,60 months,14.42,373.44,C,3 years,OWN,159500,Not Verified,debt_consolidation,21.24,0,683,57.5,Fully Paid
7600,36 months,11.99,252.39,C,10+ years,RENT,130300,Verified,other,12.46,0,705,85.0,Fully Paid
9400,36 months,6.37,287.54,A,6 years,MORTGAGE,99500,Verified,debt_consolidation,12.95,0,759,36.7,Fully Paid
17700,36 months,20.57,662.95,E,8 years,MORTGAGE,70300,Verified,home_improvement,14.54,0,681,54.8,Charged Off
13400,60 months,17.52,336.78,D,7 years,RENT,60600,Source Verified,debt_consolidation,21.25,0,677,36.2,Fully Paid
6100,36 months,11.06,199.88,B,3 years,OWN,16100,Not Verified,credit_card,22.15,0,719,9.2,Fully Paid
7000,60 months,8.41,143.31,B,6 years,MORTGAGE,26700,Source Verified,debt_consolidation,14.27,1,704,51.5,Fully Paid
20000,60 months,10.69,431.76,B,8 years,OWN,63600,Not Verified,debt_consolidation,19.39,0,730,58.0,Fully Paid
26100,36 months,10.96,853.99,B,10+ years,RENT,74700,Source Verified,debt_consolidation,19.16,0,707,46.9,Fully Paid
12400,60 months,9.78,262.12,B,4 years,MORTGAGE,102500,Not Verified,debt_consolidation,17.3,0,732,31.3,Fully Paid
40000,36 months,17.03,1426.71,D,5 years,RENT,97100,Not Verified,debt_consolidation,5.19,0,695,29.2,Fully Paid
11800,36 months,10.26,382.19,B,4 years,MORTGAGE,33500,Not Verified,credit_card,24.37,0,723,68.7,Charged Off
17400,36 months,11.97,577.68,B,8 years,RENT,28000,Verified,debt_consolidation,23.03,0,711,49.1,Charged Off
7500,60 months,15.82,181.67,D,3 years,RENT,60400,Source Verified,credit_card,17.71,0,664,80.5,Fully Paid
17100,36 months,6.84,526.75,A,10+ years,MORTGAGE,56300,Source Verified,debt_consolidation,30.35,0,755,23.6,Fully Paid
16700,36 months,12.58,559.32,C,1 year,MORTGAGE,80700,Not Verified,credit_card,17.19,0,697,51.8,Fully Paid
7400,36 months,16.81,263.13,D,10+ years,MORTGAGE,25700,Verified,car,26.24,0,677,48.9,Charged Off
6200,36 months,9.79,199.45,B,5 years,RENT,81000,Source Verified,debt_consolidation,11.62,0,722,41.9,Fully Paid
16100,36 months,8.96,511.68,B,3 years,RENT,47300,Not Verified,credit_card,21.48,0,726,75.9,Fully Paid
37400,60 months,7.37,747.11,A,1 year,MORTGAGE,65600,Verified,debt_consolidation,14.83,0,755,56.0,Fully Paid
17600,36 months,7.44,546.98,A,6 years,RENT,101700,Not Verified,debt_consolidation,19.64,0,741,8.2,Fully Paid
11900,36 months,17.27,425.87,E,10+ years,RENT,57500,Not Verified,credit_card,10.03,1,678,32.1,Fully Paid
13600,36 months,9.59,436.22,B,7 years,MORTGAGE,53000,Verified,debt_consolidation,24.47,1,709,51.1,Charged Off
8800,60 months,13.83,203.99,C,10+ years,MORTGAGE,48200,Not Verified,debt_consolidation,27.58,0,700,61.0,Fully Paid
7100,36 months,10.25,229.93,B,3 years,RENT,83100,Not Verified,credit_card,17.47,0,715,50.5,Fully Paid
7100,36 months,16.43,251.12,E,10+ years,RENT,49500,Source Verified,debt_consolidation,10.4,1,670,72.9,Fully Paid
18100,36 months,11.57,597.47,B,10+ years,RENT,123500,Not Verified,credit_card,15.83,0,728,12.8,Fully Paid
9200,60 months,11.12,200.58,B,10+ years,RENT,114700,Verified,debt_consolidation,37.83,0,715,90.9,Charged Off
8100,36 months,14.49,278.77,C,4 years,MORTGAGE,34100,Verified,medical,22.18,0,692,63.4,Fully Paid
6100,60 months,13.34,139.86,C,< 1 year,RENT,63700,Verified,credit_card,11.68,0,710,30.4,Fully Paid
17900,36 months,7.85,559.68,A,3 years,RENT,75900,Verified,home_improvement,17.53,0,743,26.1,Fully Paid
12000,60 months,12.06,267.3,B,2 years,MORTGAGE,124900,Verified,debt_consolidation,15.08,1,717,48.4,Fully Paid
11200,36 months,7.59,348.85,A,10+ years,RENT,29400,Source Verified,home_improvement,15.52,0,760,21.0,Fully Paid
16800,36 months,13.64,571.25,C,3 years,MORTGAGE,38900,Verified,credit_card,17.98,2,728,67.6,Fully Paid
4500,36 months,10.99,147.3,B,6 years,RENT,29700,Verified,debt_consolidation,15.11,0,726,33.7,Fully Paid
15200,60 months,22.95,428.06,E,3 years,OWN,56800,Source Verified,credit_card,19.29,0,665,44.6,Fully Paid
7100,60 months,25.52,210.56,G,1 year,MORTGAGE,28500,Not Verified,debt_consolidation,3.97,0,652,29.2,Fully Paid
8400,60 months,13.87,194.89,C,2 years,MORTGAGE,61300,Verified,debt_consolidation,17.14,0,691,39.6,Fully Paid
15900,36 months,9.83,511.78,B,10+ years,MORTGAGE,74500,Not Verified,car,15.87,0,722,56.1,Fully Paid
17600,36 months,12.64,589.97,C,10+ years,MORTGAGE,78300,Source Verified,debt_consolidation,27.43,0,692,12.8,Fully Paid
4500,36 months,10.74,146.77,B,3 years,MORTGAGE,64800,Not Verified,credit_card,10.19,1,701,30.7,Fully Paid
8100,60 months,10.27,173.18,B,3 years,RENT,55400,Not Verified,car,15.25,0,709,55.2,Charged Off
5500,60 months,7.48,110.16,A,3 years,MORTGAGE,59900,Verified,home_improvement,8.18,1,738,84.7,Fully Paid
19600,60 months,10.13,417.7,B,< 1 year,MORTGAGE,45800,Not Verified,debt_consolidation,8.83,0,706,72.5,Fully Paid
5200,60 months,10.15,110.87,B,2 years,MORTGAGE,85900,Source Verified,home_improvement,15.64,0,714,69.1,Charged Off
9500,36 months,19.49,350.59,D,2 years,MORTGAGE,12200,Verified,debt_consolidation,33.48,0,700,31.5,Charged Off
6100,36 months,7.89,190.84,A,10+ years,MORTGAGE,50300,Source Verified,debt_consolidation,19.21,1,733,13.8,Fully Paid
17700,60 months,14.11,412.86,C,2 years,MORTGAGE,90300,Source Verified,debt_consolidation,22.93,0,684,15.5,Fully Paid
9400,36 months,7.65,293.05,A,10+ years,RENT,64500,Not Verified,debt_consolidation,23.73,0,733,65.8,Fully Paid
34800,60 months,11.39,763.42,C,10+ years,RENT,87500,Verified,credit_card,15.83,0,709,87.1,Fully Paid
7300,60 months,16.07,177.79,D,6 years,MORTGAGE,136300,Source Verified,credit_card,12.11,0,681,15.3,Fully Paid
12500,36 months,9.5,400.41,B,7 years,RENT,51700,Not Verified,credit_card,12.96,0,711,16.4,Fully Paid
14600,60 months,12.87,331.22,C,8 years,RENT,31600,Verified,home_improvement,35.11,0,699,70.4,Charged Off
32100,36 months,9.72,1031.56,B,10+ years,RENT,95800,Verified,other,14.97,0,723,48.9,Fully Paid
3900,36 months,20.34,145.61,G,10+ years,MORTGAGE,104900,Source Verified,credit_card,5.27,1,655,52.4,Fully Paid
13400,60 months,11.93,297.6,B,3 years,MORTGAGE,68600,Source Verified,debt_consolidation,23.65,0,706,42.2,Fully Paid
6500,36 months,11.41,214.07,C,5 years,MORTGAGE,43300,Verified,debt_consolidation,16.74,0,705,35.2,Charged Off
11600,60 months,12.04,258.27,C,8 years,MORTGAGE,25800,Source Verified,credit_card,13.25,0,719,53.5,Fully Paid
15900,36 months,14.15,544.58,C,10+ years,MORTGAGE,39400,Verified,credit_card,15.89,1,692,64.5,Fully Paid
12000,36 months,13.93,409.72,C,10+ years,RENT,198400,Source Verified,debt_consolidation,16.41,0,708,77.4,Charged Off
13600,36 months,11.12,446.02,B,2 years,RENT,65200,Verified,credit_card,13.94,1,708,54.5,Fully Paid
18100,60 months,7.35,361.4,A,10+ years,OWN,95300,Not Verified,credit_card,39.6,0,748,34.4,Charged Off
9300,60 months,18.33,237.83,D,10+ years,RENT,48000,Verified,debt_consolidation,13.33,0,698,75.1,Fully Paid
6800,36 months,12.54,227.62,B,10+ years,RENT,38600,Verified,credit_card,9.49,0,703,67.6,Fully Paid
25600,36 months,10.23,828.81,B,1 year,RENT,47200,Not Verified,debt_consolidation,10.42,0,719,46.4,Fully Paid
27200,60 months,20.29,725.03,E,10+ years,MORTGAGE,73100,Source Verified,debt_consolidation,13.04,0,650,53.4,Charged Off
12100,36 months,11.01,396.2,B,5 years,RENT,64600,Verified,credit_card,22.13,0,719,60.2,Fully Paid
6900,60 months,11.78,152.72,C,10+ years,MORTGAGE,25700,Not Verified,credit_card,22.11,0,710,8.9,Fully Paid
40000,36 months,16.34,1413.0,D,10+ years,RENT,189900,Not Verified,home_improvement,13.44,0,700,39.6,Fully Paid
20300,36 months,12.1,675.22,B,9 years,MORTGAGE,159000,Source Verified,credit_card,23.71,0,693,58.2,Charged Off
11500,36 months,6.46,352.25,A,10+ years,OTHER,163000,Verified,debt_consolidation,5.95,0,751,26.1,Fully Paid
38200,36 months,10.75,1246.1,B,10+ years,MORTGAGE,80800,Verified,debt_consolidation,10.0,0,706,78.5,Fully Paid
15000,36 months,10.69,488.88,B,2 years,OWN,34100,Verified,debt_consolidation,12.83,0,695,32.7,Fully Paid
15700,36 months,10.73,511.99,C,8 years,RENT,56900,Source Verified,debt_consolidation,27.02,0,690,38.8,Fully Paid
8200,36 months,10.64,267.06,B,10+ years,RENT,67500,Not Verified,other,17.18,1,726,57.6,Fully Paid
10700,36 months,10.3,346.77,B,1 year,MORTGAGE,135000,Source Verified,credit_card,11.42,0,722,91.2,Fully Paid
5700,36 months,7.04,176.1,A,8 years,RENT,59800,Not Verified,small_business,9.41,0,746,19.0,Fully Paid
34400,36 months,22.96,1330.9,E,10+ years,OTHER,55100,Source Verified,small_business,7.24,1,667,42.7,Fully Paid
14300,60 months,7.37,285.66,A,3 years,OWN,74500,Verified,credit_card,13.19,0,753,77.1,Charged Off
14800,36 months,7.52,460.51,A,6 years,RENT,48700,Not Verified,debt_consolidation,31.89,0,751,38.7,Fully Paid
35100,36 months,16.45,1241.82,D,7 years,RENT,90100,Not Verified,debt_consolidation,11.72,0,699,45.1,Fully Paid
10800,36 months,6.08,328.95,A,10+ years,MORTGAGE,127900,Source Verified,credit_card,9.49,0,729,79.3,Fully Paid
5000,36 months,16.99,178.24,D,3 years,MORTGAGE,66100,Verified,debt_consolidation,11.23,0,676,39.7,Charged Off
9000,36 months,24.4,354.99,E,10+ years,RENT,176800,Not Verified,debt_consolidation,7.99,0,658,37.6,Charged Off
18000,36 months,15.32,626.8,C,6 years,MORTGAGE,107500,Source Verified,credit_card,16.63,0,697,29.1,Fully Paid
31700,36 months,15.3,1103.55,D,6 years,RENT,80000,Not Verified,credit_card,15.48,2,686,37.7,Fully Paid
12400,36 months,12.01,411.92,B,10+ years,OTHER,65300,Not Verified,credit_card,14.37,0,702,27.1,Fully Paid
16000,36 months,7.01,494.11,A,10+ years,RENT,115900,Source Verified,debt_consolidation,14.31,1,745,46.9,Fully Paid
6900,36 months,7.02,213.12,A,10+ years,RENT,45900,Source Verified,debt_consolidation,22.58,1,732,69.4,Fully Paid
5900,36 months,14.58,203.31,C,10+ years,MORTGAGE,92500,Verified,debt_consolidation,26.32,1,697,75.9,Fully Paid
11900,60 months,12.43,267.3,C,8 years,RENT,64800,Not Verified,debt_consolidation,22.33,0,699,47.9,Fully Paid
8700,36 months,13.31,294.44,C,10+ years,RENT,32000,Verified,debt_consolidation,21.6,2,686,71.2,Fully Paid
8600,36 months,7.91,269.14,A,10+ years,MORTGAGE,97600,Verified,debt_consolidation,8.21,0,748,60.6,Fully Paid
12200,36 months,8.21,383.49,A,3 years,RENT,100600,Not Verified,debt_consolidation,50.0,0,756,49.2,Charged Off
29100,36 months,9.65,934.2,B,9 years,MORTGAGE,159100,Source Verified,small_business,22.44,0,717,30.8,Fully Paid
12900,60 months,9.51,270.99,B,10+ years,RENT,30500,Verified,major_purchase,6.82,0,721,79.9,Fully Paid
28800,36 months,10.63,937.84,B,7 years,RENT,55200,Source Verified,debt_consolidation,22.72,1,709,64.9,Fully Paid
6500,36 months,12.55,217.6,B,,MORTGAGE,31500,Source Verified,debt_consolidation,25.49,0,713,66.2,Charged Off
13600,60 months,8.95,281.98,B,2 years,MORTGAGE,69800,Verified,debt_consolidation,12.6,0,733,43.9,Charged Off
24400,36 months,28.53,1016.27,G,3 years,RENT,77000,Source Verified,credit_card,38.53,1,658,83.3,Charged Off
13500,36 months,11.77,446.91,B,8 years,MORTGAGE,36600,Source Verified,debt_consolidation,26.4,0,729,52.8,Fully Paid
7400,36 months,13.58,251.41,C,,MORTGAGE,26300,Not Verified,home_improvement,7.82,0,699,26.0,Fully Paid
14500,36 months,11.28,476.64,C,7 years,MORTGAGE,55200,Source Verified,debt_consolidation,27.44,1,668,49.7,Charged Off
6000,60 months,10.56,129.14,B,,MORTGAGE,45300,Source Verified,debt_consolidation,18.01,0,721,36.5,Fully Paid
13400,36 months,6.56,411.06,A,6 years,MORTGAGE,110700,Not Verified,credit_card,12.07,0,743,75.4,Fully Paid
8600,36 months,11.86,285.07,C,8 years,MORTGAGE,41400,Not Verified,car,20.68,0,694,55.3,Fully Paid
40000,36 months,7.58,1245.72,A,7 years,MORTGAGE,86200,Not Verified,debt_consolidation,18.42,0,743,72.6,Fully Paid
12000,36 months,30.0,509.42,G,10+ years,RENT,64500,Source Verified,debt_consolidation,25.66,0,654,40.4,Fully Paid
12000,36 months,14.89,415.34,C,9 years,RENT,65500,Not Verified,debt_consolidation,28.3,1,688,46.0,Fully Paid
7500,36 months,6.5,229.87,A,1 year,MORTGAGE,114500,Source Verified,credit_card,15.95,0,748,67.8,Charged Off
13800,36 months,12.75,463.32,D,6 years,MORTGAGE,61900,Source Verified,credit_card,14.8,0,679,64.4,Fully Paid
9100,36 months,18.8,332.65,E,10+ years,MORTGAGE,140600,Not Verified,home_improvement,21.34,0,659,,Fully Paid
37400,60 months,11.59,824.21,B,10+ years,RENT,121600,Not Verified,medical,21.63,0,715,85.7,Charged Off
